customer_id,name,email,phone,country,signup_date
CUST00001,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,United States,2025-11-01
CUST00002,Jennifer Cole,lisa02@example.net,(254)923-5116x15594,USA,2025-04-18
CUST00003,Jamie Arnold,barbara10@example.net,441.731.6475,United Kingdom,2024-10-02
CUST00004,Mia Sutton,lynchgeorge@example.net,527.264.8350,Canada,2026-02-07
CUST00005,Austin Gentry,,,Canada,2026-09-06
CUST00006,Johnny Campos,,,US,2024-07-26
CUST00007,Aaron Bowen,teresa28@example.org,+1-948-293-2528x8095,United States,2024-01-09
CUST00008,William Roman,brianhumphrey@example.org,671-882-2782,United States,2026-07-31
CUST00009,Nicole Vaughn,raymond57@example.net,213.331.5098x393,Germany,2025-10-23
CUST00010,Austin Johnson,chad34@example.net,838.729.9737x6311,USA,2024-12-16
CUST00011,Nicholas Nunez,brownjessica@example.org,933.587.2624,USA,2026-04-24
CUST00012,Robert Chase,williamsyvette@example.org,432-867-7360,United States,2023-09-11
CUST00013,Timothy Glover,rodney87@example.org,243.909.8050,Canada,2025-03-13
CUST00014,Brooke Yu,yorkcasey@example.org,+1-736-619-3990x91699,Canada,2024-04-19
CUST00015,Cynthia Foster,stephen10@example.com,+1-791-618-3842x513,USA,2024-02-28
CUST00016,Michele Carr,contrerasangela@example.net,524-711-8244,Canada,2024-04-19
CUST00017,Deborah Freeman,davisrodney@example.com,2053242786,Germany,2023-11-30
CUST00018,Stephanie Gardner,,,Canada,2026-06-19
CUST00019,Christopher Marsh,nicolejohnson@example.net,563-542-1607x33754,Australia,2023-10-04
CUST00020,Garrett Lin,michael86@example.net,+1-350-814-2940,United Kingdom,2024-09-21
CUST00021,Jessica Joyce,cruzbarbara@example.com,7607883561,USA,2025-09-05
CUST00022,Steven Hunter,snguyen@example.com,+1-823-266-2994,US,2024-08-07
CUST00023,Richard Lawson,steven73@example.net,221.248.9513x4332,Germany,2024-06-03
CUST00024,Samuel Jones,kmercado@example.org,001-967-263-2016x328,UK,2025-05-11
CUST00025,Barbara Anderson,jcontreras@example.net,979-586-8727x74348,United Kingdom,2024-07-05
CUST00026,Dustin Nelson,patricia12@example.org,962.831.6658,US,2023-11-16
CUST00027,Jean Carrillo,gateskathy@example.com,805.946.6889x3734,Canada,2023-10-10
CUST00028,Michael Powell,marycalhoun@example.net,+1-906-499-0162,UK,2023-11-03
CUST00029,Daniel Murphy,aramirez@example.com,270-580-5310,United States,2024-04-14
CUST00030,Christian Martinez,,,United States,2026-07-06
CUST00031,Kevin Rivas,curtisbarton@example.net,+1-819-905-8651x850,Germany,2024-01-02
CUST00032,Madison Poole,,,United States,2025-12-09
CUST00033,Mary Rogers,lrosales@example.com,554.354.9480,UK,2024-05-30
CUST00034,Justin Allen,fbrewer@example.com,9147363495,UK,2024-12-18
CUST00035,Erin Warner,,,United Kingdom,2026-03-09
CUST00036,Isaac Turner,joshuamccann@example.net,627-910-9477x7520,USA,2024-01-12
CUST00037,John Ray,hernandezlisa@example.com,831-986-9993,Australia,2026-05-31
CUST00038,Kevin Patterson,lynchjody@example.org,+1-934-612-3281x2067,United States,2023-10-14
CUST00039,Douglas Heath,mcdanielsandra@example.net,001-336-218-3242,Germany,2024-03-08
CUST00040,Paul Carroll,scott74@example.net,(248)387-7190x6594,United States,2024-05-16
CUST00041,Shannon Matthews,keyemily@example.com,001-802-978-7429,United Kingdom,2026-08-06
CUST00042,Jason Morris,hodgemark@example.net,246.980.7154x5168,UK,2024-12-04
CUST00043,Isaiah Avila,nwolf@example.com,+1-424-677-1093,Canada,2025-05-04
CUST00044,Anna Gay,murraydavid@example.org,448.346.7737x8263,United States,2024-07-07
CUST00045,Jennifer Villa,lori44@example.net,001-872-978-7558,USA,2026-06-27
CUST00046,Veronica Allen,xhall@example.com,7573662702,Canada,2026-04-24
CUST00047,Joseph Bryant,robertpena@example.org,874-759-6158,United Kingdom,2025-07-26
CUST00048,Katherine Weaver,,,United States,2026-01-28
CUST00049,James Thomas,yknight@example.org,(421)596-9379,Canada,2025-01-26
CUST00050,David Smith,rsantana@example.net,(617)559-4647,United States,2026-09-08
CUST00051,Ashley James,bailey40@example.net,(640)490-9743x9533,Germany,2025-07-28
CUST00052,Maria Parker,xjohnson@example.net,(714)656-2328,United Kingdom,2026-03-07
CUST00053,Roger Olson,julie51@example.com,623-368-5160,Australia,2025-01-19
CUST00054,Megan Richards,daniel37@example.org,+1-285-693-1746x120,UK,2026-09-04
CUST00055,David Medina,qchavez@example.net,001-786-592-6179x640,US,2025-01-06
